State,State Tax Rate,Rank,Avg. Local Tax Rate (a),Combined Rate,Rank,Max Local Tax Rate
Ala.,4.00%,40,5.24%,9.24%,5,7.50%
Alaska,0.00%,46,1.76%,1.76%,46,7.50%
Ariz.,5.60%,28,2.77%,8.37%,11,5.30%
Ark.,6.50%,9,2.97%,9.47%,3,6.13%
Calif. (b),7.25%,1,1.57%,8.82%,7,2.50%
Colo.,2.90%,45,4.87%,7.77%,15,8.30%
Conn.,6.35%,12,0.00%,6.35%,33,0.00%
Del.,0.00%,46,0.00%,0.00%,47,0.00%
D.C.,6.00%,-17,0.00%,6.00%,-38,0.00%
Fla.,6.00%,17,1.01%,7.01%,23,2.00%
Ga.,4.00%,40,3.37%,7.37%,19,5.00%
Hawaii (c),4.00%,40,0.44%,4.44%,45,0.50%
Idaho,6.00%,17,0.02%,6.02%,37,3.00%
Ill.,6.25%,13,2.48%,8.73%,8,5.25%
Ind.,7.00%,2,0.00%,7.00%,24,0.00%
Iowa,6.00%,17,0.94%,6.94%,28,1.00%
Kans.,6.50%,9,2.21%,8.71%,9,4.25%
Ky.,6.00%,17,0.00%,6.00%,38,0.00%
La.,4.45%,38,5.10%,9.55%,1,7.00%
Maine,5.50%,29,0.00%,5.50%,42,0.00%
Md.,6.00%,17,0.00%,6.00%,38,0.00%
Mass.,6.25%,13,0.00%,6.25%,35,0.00%
Mich.,6.00%,17,0.00%,6.00%,38,0.00%
Minn.,6.88%,6,0.61%,7.49%,17,2.00%
Miss.,7.00%,2,0.07%,7.07%,22,1.00%
Mo.,4.23%,39,4.07%,8.30%,12,5.76%
Mont. (d),0.00%,46,0.00%,0.00%,47,0.00%
Nebr.,5.50%,29,1.44%,6.94%,29,2.50%
Nev.,6.85%,7,1.38%,8.23%,13,1.53%
N.H.,0.00%,46,0.00%,0.00%,47,0.00%
N.J. (e),6.63%,8,-0.03%,6.60%,30,3.31%
N.M. (c),5.00%,32,2.72%,7.72%,16,4.31%
N.Y.,4.00%,40,4.52%,8.52%,10,4.88%
N.C.,4.75%,35,2.23%,6.98%,26,2.75%
N.D.,5.00%,32,1.96%,6.96%,27,3.50%
Ohio,5.75%,27,1.49%,7.24%,20,2.25%
Okla.,4.50%,36,4.49%,8.99%,6,7.00%
Ore.,0.00%,46,0.00%,0.00%,47,0.00%
Pa.,6.00%,17,0.34%,6.34%,34,2.00%
R.I.,7.00%,2,0.00%,7.00%,24,0.00%
S.C.,6.00%,17,1.44%,7.44%,18,3.00%
S.D. (c),4.50%,36,1.90%,6.40%,32,4.50%
Tenn.,7.00%,2,2.55%,9.55%,2,2.75%
Tex.,6.25%,13,1.95%,8.20%,14,2.00%
Utah (b),6.10%,16,1.09%,7.19%,21,2.95%
Vt.,6.00%,17,0.24%,6.24%,36,1.00%
Va. (b),5.30%,31,0.45%,5.75%,41,0.70%
Wash.,6.50%,9,2.79%,9.29%,4,4.00%
W.Va.,6.00%,17,0.55%,6.55%,31,1.00%
Wis.,5.00%,32,0.43%,5.43%,43,1.75%
Wyo.,4.00%,40,1.36%,5.36%,44,2.00%